Alloy,State,Density,Structure,T,E,Yield_Strength,Yield,Peak_Stress,Peak_strain,Fracture_Strength,Fracture_Strain,Compression_Yield_Strength,Compression_Strain,Strain,Vickers_hardness ,Wear_Resistance,fafabrication,题录
MoTiVFeNiZrCo,annealed,,,,,,,,,,,,,,790,,,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
CuTiVFeNiZrCoCr,as-cast,,,,,,,,,,,,,,680,,,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
CuTiVFeNiZrCoCr,annealed,,,,,,,,,,,,,,680,,,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
AlTiVFeNiZrCoCr,as-cast,,,,,,,,,,,,,,780,,,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
AlTiVFeNiZrCoCr,annealed,,,,,,,,,,,,,,890,,,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
MoTiVFeNiZrCoCr,as-cast,,,,,,,,,,,,,,850,,,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
MoTiVFeNiZrCoCr,annealed,,,,,,,,,,,,,,850,,,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
CuCoNiCrAlFeTiV ,,,BCC,,,,,,,,,,,,,,as-splat-quenched,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
Cu0.5CoNiCrAl,,,BCC,,,,,,,,,,,,,,as-sputtered,Nanostructured High-EntropyAlloys with Multiple PrincipalElements: Novel Alloy DesignConcepts and Outcomes
FeCoNiCrCu0.5,as-cast,,FCC,,,,,,,,,,,,,,,
Al0.5CoCrCuFeNiTi0.2,,,FCC,,,,,,,,,,,,273.80,0.924296,arc melting ,Microstructure and Properties of Al0.5CoCrCuFeNiTix (x=0–2.0) High-Entropy Alloys
Al0.5CoCrCuFeNiTi0.4,,,FCC,,,,,,,,,,,,321.67,0.923957,arc melting ,Microstructure and Properties of Al0.5CoCrCuFeNiTix (x=0–2.0) High-Entropy Alloys
Al0.5CoCrCuFeNiTi0.6,,,FCC + BCC,,,,,,,,,,,,459.75,0.927775,arc melting ,Microstructure and Properties of Al0.5CoCrCuFeNiTix (x=0–2.0) High-Entropy Alloys
Al0.5CoCrCuFeNiTi0.8,,,FCC + BCC,,,,,,,,,,,,588.34,1.20242,arc melting ,Microstructure and Properties of Al0.5CoCrCuFeNiTix (x=0–2.0) High-Entropy Alloys
Al0.5CoCrCuFeNiTi1.0,,,FCC + BCC + σ phase,,,,,,,,,,,,636.20,1.2354,arc melting ,Microstructure and Properties of Al0.5CoCrCuFeNiTix (x=0–2.0) High-Entropy Alloys
Al0.5CoCrCuFeNiTi1.2,,,FCC + BCC + σ phase,,,,,,,,,,,,648.47,1.19339,arc melting ,Microstructure and Properties of Al0.5CoCrCuFeNiTix (x=0–2.0) High-Entropy Alloys
Al0.5CoCrCuFeNiTi1.4,,,FCC + BCC + TL,,,,,,,,,,,,655.99,1.10972,arc melting ,Microstructure and Properties of Al0.5CoCrCuFeNiTix (x=0–2.0) High-Entropy Alloys
Al0.5CoCrCuFeNiTi1.6,,,FCC + BCC + TL,,,,,,,,,,,,661.13,1.05937,arc melting ,Microstructure and Properties of Al0.5CoCrCuFeNiTix (x=0–2.0) High-Entropy Alloys
Al0.5CoCrCuFeNiTi1.8,,,FCC + BCC + TL,,,,,,,,,,,,671.03,1.01319,arc melting ,Microstructure and Properties of Al0.5CoCrCuFeNiTix (x=0–2.0) High-Entropy Alloys
Al0.5CoCrCuFeNiTi2.0,,,FCC + BCC + TL,,,,,,,,,,,,702.28,1.00867,arc melting ,Microstructure and Properties of Al0.5CoCrCuFeNiTix (x=0–2.0) High-Entropy Alloys
Al0.5CoCrCuFeNiV0.2,,,FCC,,,,,,,,,,,,202.732,0.909041,arc melting ,"Effect of Vanadium Addition on the Microstructure, Hardness,and Wear Resistance of Al0.5CoCrCuFeNi High-Entropy Alloy"
Al0.5CoCrCuFeNiV0.4,,,FCC,,,,,,,,,,,,229.508,0.874521,arc melting ,"Effect of Vanadium Addition on the Microstructure, Hardness,and Wear Resistance of Al0.5CoCrCuFeNi High-Entropy Alloy"
Al0.5CoCrCuFeNiV0.6,,,FCC + BCC,,,,,,,,,,,,330.874,0.863014,arc melting ,"Effect of Vanadium Addition on the Microstructure, Hardness,and Wear Resistance of Al0.5CoCrCuFeNi High-Entropy Alloy"
Al0.5CoCrCuFeNiV0.8,,,FCC + BCC + σ phase,,,,,,,,,,,,449.454,0.874521,arc melting ,"Effect of Vanadium Addition on the Microstructure, Hardness,and Wear Resistance of Al0.5CoCrCuFeNi High-Entropy Alloy"
Al0.5CoCrCuFeNiV1.0,,,FCC + BCC + σ phase,,,,,,,,,,,,638.798,0.943562,arc melting ,"Effect of Vanadium Addition on the Microstructure, Hardness,and Wear Resistance of Al0.5CoCrCuFeNi High-Entropy Alloy"
Al0.5CoCrCuFeNiV1.2,,,BCC,,,,,,,,,,,,573.77,1.05479,arc melting ,"Effect of Vanadium Addition on the Microstructure, Hardness,and Wear Resistance of Al0.5CoCrCuFeNi High-Entropy Alloy"
Al0.5CoCrCuFeNiV1.4,,,BCC,,,,,,,,,,,,575.683,1.07397,arc melting ,"Effect of Vanadium Addition on the Microstructure, Hardness,and Wear Resistance of Al0.5CoCrCuFeNi High-Entropy Alloy"
Al0.5CoCrCuFeNiV1.6,,,BCC,,,,,,,,,,,,592.896,1.06247,arc melting ,"Effect of Vanadium Addition on the Microstructure, Hardness,and Wear Resistance of Al0.5CoCrCuFeNi High-Entropy Alloy"
Al0.5CoCrCuFeNiV1.8,,,BCC,,,,,,,,,,,,596.721,1.08164,arc melting ,"Effect of Vanadium Addition on the Microstructure, Hardness,and Wear Resistance of Al0.5CoCrCuFeNi High-Entropy Alloy"
Al0.5CoCrCuFeNiV2.0,,,BCC,,,,,,,,,,,,585.246,1.12,arc melting ,"Effect of Vanadium Addition on the Microstructure, Hardness,and Wear Resistance of Al0.5CoCrCuFeNi High-Entropy Alloy"
AlCoCrCuFeMoNiTiVZr,,,,,,,,,,,,,,,,,,"Effect of Vanadium Addition on the Microstructure, Hardness,and Wear Resistance of Al0.5CoCrCuFeNi High-Entropy Alloy"
AlCoCrFeMo0.5NiSiTi,,,,,,,,,,,,,,,,,,"Effect of Vanadium Addition on the Microstructure, Hardness,and Wear Resistance of Al0.5CoCrCuFeNi High-Entropy Alloy"
AlCrFeMo0.5NiSiTi,,,,,,,,,,,,,,,,,,"Effect of Vanadium Addition on the Microstructure, Hardness,and Wear Resistance of Al0.5CoCrCuFeNi High-Entropy Alloy"
Cu0.5Ni,,,FCC,,,,,,,,,,,,,,,High-Entropy Alloys – A New Era of Exploitation
Cu0.5NiAl,,,BCC,,,,,,,,,,,,,,,High-Entropy Alloys – A New Era of Exploitation
Cu0.5NiAlCo,,,FCC,,,,,,,,,,,,,,,High-Entropy Alloys – A New Era of Exploitation
Cu0.5NiAlCoCr,,,BCC,,,,,,,,,,,,,,,High-Entropy Alloys – A New Era of Exploitation
Cu0.5NiAlCoCrFe,,,Amorphousphous,,,,,,,,,,,,,,,High-Entropy Alloys – A New Era of Exploitation
Cu0.5NiAlCoCrFeTi,,,Amorphousphous,,,,,,,,,,,,,,,High-Entropy Alloys – A New Era of Exploitation
AlCoCrCuFeNi,,,FCC + BCC,,,,,,,,,,,,420,,,On the elemental effect of AlCoCrCuFeNi high-entropy alloy system
Al0.5CoCrCuFeNi,,,FCC,,,,,,,,,,,,208,,,On the elemental effect of AlCoCrCuFeNi high-entropy alloy system
AlCo0.5CrCuFeNi,,,FCC + BCC,,,,,,,,,,,,473,,,On the elemental effect of AlCoCrCuFeNi high-entropy alloy system
AlCoCr0.5CuFeNi,,,FCC + BCC,,,,,,,,,,,,367,,,On the elemental effect of AlCoCrCuFeNi high-entropy alloy system
AlCoCrCu0.5FeNi,,,BCC,,,,,,,,,,,,458,,,On the elemental effect of AlCoCrCuFeNi high-entropy alloy system
AlCoCrCuFe0.5Ni,,,FCC + BCC,,,,,,,,,,,,418,,,On the elemental effect of AlCoCrCuFeNi high-entropy alloy system
AlCoCrCuFeNi0.5,,,FCC + BCC,,,,,,,,,,,,423,,,On the elemental effect of AlCoCrCuFeNi high-entropy alloy system
AlCoCrCuNi,,, FCC + BCC,,,,,,,,,,,,419,,,"Alloying behavior of iron, gold and silver in AlCoCrCuNi-basedequimolar high-entropy alloys"
