Alloy,State,Density,Structure,T,E,Yield_Strength,Yield,Peak_Stress,Peak_strain,Fracture_Strength,Fracture_Strain,Compression_Yield_Strength,Compression_Strain,Strain,Vickers_hardness ,Wear_Resistance,fafabrication,题录
CoCrFeNiMn,,,FCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiMnCu,,,FCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrNiCu0.5Al,,,BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
TiCoCrFeNiCuAlV,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCu0.5,,,FCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrNiCuAl,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCuNiAl,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CuNiAl,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CuNi,,,FCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
Co0.5CrFeNiCuAl,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCr0.5FeNiCuAl,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFe0.5NiCuAl,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNi0.5CuAl,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCu0.5Al,,,BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
Ti0.5CoCrFeNiCu,,,FCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
Ti0.5CoCrFeNiAl,,,BCC1 + BCC2,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
TiCoCrFeNiAl,,,BCC1 + BCC2,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
Aln.1 (TiCoCrFeNiCuVMn)88.9,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
Al20(TiCoCrFeNiCuVMn)80,,,BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
TiCr0.5FeNiCuAl,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
TiCrFeNiCuAl,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
TiCr1.5FeNiCuAl,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
TiCr2FeNiCuAl,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
TiCr3FeNiCuAl,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
TiCoCrFeNiCuAl,,,BCC1 + BCC2 + FCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAlV,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
Ti0.5Co1.5CrFeNiAl,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
Ti0.5 Co2 CrFeNiAl,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
Ti0.5Co3CrFeNiAl,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
Ti0.5 CoCrFeNiCu0.75Al0.25,,,FCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
Ti0.5CoCeFeNiCu0.5Al0.5,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
Ti0.5CoCrFeNiCu0.25Al0.75,,,BCC1 + BCC2,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCu0.25Al,,,BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoFeNiCuV,,,FCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCu0.75Al0.25,,,FCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCu0.5Al0.5,,,FCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCu0.25Al0.75,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
Ti0.5CoCrFeNiCu0.25Al,,,BCC1 + BCC2,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
Ti0.5CoCrFeNiCu0.5Al,,,BCC1 + BCC2,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNi,,,FCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiAl0.25,,,FCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiAl0.375,,,FCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiAl0.5,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiAl0.75,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiAl0.875,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiAl1.25,,,BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiAl1.5,,,BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiAl2,,,BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiAl2.5,,,BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiAl3,,,BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
MnCrFe1.5Ni0.5Al0.3,,,BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
MnCrFe1.5Ni0.5Al0.5,,,BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
MoCrFeNiCu,,,FCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
Ti0.5Co1.5CrFeNi1.5,,,FCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
Ti0.5Co1.5CrFeNi1.5Mo0.1,,,FCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAl0.5V0.2,,,FCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAl0 5V0 4,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAl0.5V1.2,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAl0.5V1.4,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAl0 5V1 6,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAl0.5V1.8,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAl0.5V2,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
MnCrFeNiCu,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
Mn2CrFeNi2Cu,,,FCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
MnCr2Fe2NiCu,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
Mn2 Cr2 Fe2Ni2 Cu,,,FCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
Mn2 CrFe2NiCu2,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
MnCrFe2Ni2Cu2,,,FCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
Mn2Cr2FeNi2Cu2,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
MnCr2Fe2Ni2Cu2,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
W27.3 Nb22.7Mo25.6Td24.4,,,BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
W21.1Nb20.6Mo21.7Ta15.6V21,,,BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
Ti0.3 CoCrFeNi,,,FCC + HCP,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
Ti0.1 CoCrFeNiAl0.3,,,FCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
TiCoNiCuAlZn,,,BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiMo0.3,,,FCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiAl0.3Mo0.1,,,FCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAlMo0.2,,,FCC + BCC,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
Ti0.8CoCrFeNiCu,,,FCC + Laves phase,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
TiCoCrFeNiCu,,,FCC + Laves phase,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
Ti1.5CoCrFeNiAl,,,BCC1 + BCC2 + Laves phase,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAlMn,,,FCC + BCC + unknown phase,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CrFeNiCuZr,,,BCC + compounds,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
Ti0.5Co1.5CrFeNi1.5Mo0.5,,,FCC + σ phase,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
Ti0.5Co1.5CrFeNi1.5Mo0.8,,,FCC + σ phase,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
TiCoCrNiCuAl,,,BCC + Cu + Cr,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAl0.5V0.6,,,FCC + BCC + σ phase,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAl0.5V0.8,,,FCC + BCC + σ phase,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAl0.5V,,,FCC + BCC + σ phase,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAl0.5B0.2,,,FCC + boride,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAl0.5B0.6,,,FCC + boride,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAl0.5B,,,FCC + ordered FCC + boride,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
TiCoCrFeNiCuVMn,,,FCC + BCC + σ phase + unknown phase,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
Al40(TiCoCrFeNiCuVMn)60,,,BCC + Al3Ti + unknown phase,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAlMn,,,FCC + BCC + unknown phase,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFe0.6 NiAlMo0.5,,,BCC + σ phase,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiAlMo0.5,,,BCC + σ phase,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFe1.5 NiAlMo0.5,,,BCC + σ phase,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFe2NiAlMo0.5,,,BCC + σ phase,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
Co0.5CrFeNiAlMo0.5,,,BCC + σ phase,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
Co1.5CrFeNiAlMo0.5,,,BCC + σ phase,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
Co2CrFeNiAlMo0.5,,,FCC + BCC + σ phase,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
TiCoCrNiCuAl,,,BCC + Cu + Cr,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrNiCuAlAu,,,FCC + AuCu,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAlMo0.4,,,BCC + α phase,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAlMo0.6,,,BCC + α phase,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAlMo0.8,,,BCC + α phase,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
CoCrFeNiCuAlMo,,,BCC + α phase,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
ZrHfTiCuFe,,,Compounds,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
ZrHfTiCuCo,,,Compounds,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
AlCrMoSiTi,,,Ordered BCC + Mo5Si3,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
Ti2 CoCrFeNiCu,,,Compounds,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
AlTiVYZr,,,Conpounds,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
ZrTiVCuNiBe,,,Compounds,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
TiCoCrNiCuAlY0.5,,,Cu2Y + AlNi2Ti + Cu + Cr,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
TiCoCrNiCuAlY0.8,,,Cu2Y + AlNi2Ti + Cu + Cr,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
TiCoCrNiCuAlY,,,Cu2Y + AlNi2Ti + Cu + Cr + unknown phase,,,,,,,,,,,,,,,Predictionofhigh-entropystabilizedsolid-solutioninmulti-componentalloys
AlCoCrFeNb0Ni,as-cast,,BCC,RT,,1373,0.2,,,3531,,,,24.5,520,,,EffectofNbadditiononthemicrostructureandpropertiesofAlCoCrFeNihigh-entropyalloy
AlCoCrFeNb0.1Ni,as-cast,,BCC,RT,,1641,0.2,,,3285,,,,12.2,569,,,EffectofNbadditiononthemicrostructureandpropertiesofAlCoCrFeNihigh-entropyalloy
AlCoCrFeNb0.25Ni,as-cast,,BCC + (Laves + bcc),RT,,1959,0.2,,,3008,,,,10.5,668,,,EffectofNbadditiononthemicrostructureandpropertiesofAlCoCrFeNihigh-entropyalloy
AlCoCrFeNb0.5Ni,as-cast,,BCC + (Laves + bcc),RT,,2473,0.2,,,3170,,,,4.1,747,,,EffectofNbadditiononthemicrostructureandpropertiesofAlCoCrFeNihigh-entropyalloy
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
